id_arbol,direccion,tipo_vereda,lado_vereda,especie,tipo_tendido,distancia_entre_ar,distancia_al_muro,activo,lng,lat
1461,San Luis 1471,Grande,Impar,Lapacho rosado,Alta tensión (Con Protección),3.0,3.5,True,-58.8434039251899,-27.4734750713959
1406,Don bosco al 1500,Grande,Par,Fresno,Media Tensión (Con Protección),0.0,6.0,True,-58.849773003971,-27.472653110441
1407,San Martin 1030,Mediana,Par,Ficus variegado,Media Tensión (Con Protección),5.0,1.9,True,-58.8382814960859,-27.468961727007
1408,San Martin 1036,Mediana,Par,Ficus variegado,Media Tensión (Con Protección),5.0,1.8,True,-58.838251034341,-27.468897596756
1409,Av 3 de abril 745,Grande,Impar,Palmera,Alta tensión (Con Protección),5.0,4.0,True,-58.841709030503,-27.4748480011149
1410,Av 3 de abril 745,Grande,Impar,Palmera,Alta tensión (Con Protección),7.0,4.0,True,-58.8418055332679,-27.474852064155
1411,San Martín 1690,Mediana,Par,Ligustro,Alta tensión (Con Protección),0.0,2.0,True,-58.829659398172,-27.4705398763369
1412,3 de abril 0715,Grande,Impar,Palmera,Alta tensión (Con Protección),6.0,4.0,True,-58.84180563571,-27.4748298130889
1413,Rivadavia 608,Mediana,Par,Palmera,Media Tensión (Sin Protección),3.0,3.0,True,-58.8432749536359,-27.473845821394
1414,Rivadavia,Mediana,Par,Palmera,Alta tensión (Con Protección),3.0,3.0,True,-58.8433130199,-27.4738170722339
1415,Rivadavia 605,Mediana,Impar,Fresno,Media Tensión (Sin Protección),18.0,3.0,True,-58.84345275899,-27.4738139626499
1416,Rivadavia 623,Grande,Impar,Fresno,Alta tensión (Con Protección),4.0,3.0,True,-58.8432431790039,-27.473889117635
1417,Rivadavia 623,Grande,Impar,Fresno,Alta tensión (Con Protección),6.0,4.0,True,-58.8432878741899,-27.473787827774
1418,Rivadavia 641,Grande,Impar,Fresno,Media Tensión (Con Protección),7.0,2.0,True,-58.843337975757,-27.4737700397799
1419,Rivadavia 647,Grande,Impar,Palmera,Alta tensión (Con Protección),3.0,2.0,True,-58.8431205655319,-27.4738654406709
1420,Rivadavia 647,Grande,Impar,Palmera,Alta tensión (Con Protección),6.0,2.5,True,-58.843047349277,-27.4737929751809
1421,Rivadavia 671,Grande,Impar,Pata de Buey,Alta tensión (Con Protección),18.0,3.0,True,-58.8424192776089,-27.473930565303
1422,Rivadavia 687,Grande,Impar,Fresno,Media Tensión (Con Protección),16.0,3.0,True,-58.8417489651479,-27.473865612893
1423,Rivadavia 693,Grande,Impar,Ñangapirí,Alta tensión (Con Protección),15.0,5.0,True,-58.8421773279779,-27.4738544570599
1424,Tucumán 1499,Grande,Impar,Ñangapirí,Media Tensión (Sin Protección),11.0,3.0,True,-58.842090862064,-27.473858752495
1425,Santa Fe 1155,Mediana,Impar,Tulipanero,Alta tensión (Con Protección),4.0,2.0,True,-58.830762495369,-27.470969202418
