gid,nombre_plaza,ordenanza,clasificacion,id_barrios,nombre_barrio,ubicacion,st_asgeojson
1014,DR. RAUL RICARDO ALFONSIN,7017,ESPACIO VERDE,1,17 DE AGOSTO,CERDEÑA-PAUL GROUSSAC,"{""type"":""Polygon"",""coordinates"":[[[-58.7885084368509,-27.4908657565381],[-58.7885634577778,-27.4912031603474],[-58.7881880422236,-27.4912564391431],[-58.7881299492477,-27.490915183534],[-58.7885084368509,-27.4908657565381]]]}"
1015,S/N,,ESPACIO VERDE,1,17 DE AGOSTO,MARCELO DE LA TORRE-CERDEÑA-PAUL GROUSSAC,"{""type"":""Polygon"",""coordinates"":[[[-58.7889655352109,-27.4912895045302],[-58.789019928572,-27.4916289221047],[-58.7882624874491,-27.4917269769151],[-58.7882129143749,-27.4913869360683],[-58.7889655352109,-27.4912895045302]]]}"
1084,"HECTOR HUGO ""GALLINA"" HERRERA",6732,ESPACIO VERDE,97,UNION,CAZADORES CORRENTINOS Y DR. RAMON CARRILLO,"{""type"":""Polygon"",""coordinates"":[[[-58.821389701514,-27.4856034097584],[-58.8214231048242,-27.4860517810953],[-58.8221688710227,-27.4859759474361],[-58.8225224499028,-27.4855362257644],[-58.8223169803917,-27.4855484129323],[-58.8222083048306,-27.4855548590179],[-58.821389701514,-27.4856034097584]]]}"
13,DR. JUAN RAMON VIDAL,1815/88,PLAZA,45,JUAN DE VERA,FRANCISCO DE BALBOA- NUÑEZ CABEZA DE VACA- DIEGO DE IRALA,"{""type"":""Polygon"",""coordinates"":[[[-58.8442973314582,-27.490131740835],[-58.8436989064614,-27.4902133681756],[-58.8437483805698,-27.4905139694871],[-58.8440557240525,-27.4904742265834],[-58.8440831008508,-27.4906220753482],[-58.8443734120748,-27.4905792592581],[-58.8442973314582,-27.490131740835]]]}"
30,INGENIERO ELISEO POPOLIZIO,5971,PLAZA,124,,CARMELO FERNANDEZ-JUAN RAUL SERRADORI,"{""type"":""Polygon"",""coordinates"":[[[-58.7768528018241,-27.5177644929723],[-58.7772089820924,-27.5183259366298],[-58.7773854820138,-27.5182376130673],[-58.7775619817806,-27.5181492892104],[-58.7772057997819,-27.517587846506],[-58.7768528018241,-27.5177644929723]]]}"
102,JUAN DE VERA DE LAS SIETE CORRIENTES,3971,PLAZA,27,DEPORTES,JUNIN-LA RIOJA-PJE. AGUSTIN GONZALEZ-SAN JUAN,"{""type"":""Polygon"",""coordinates"":[[[-58.8379528950349,-27.4670502540751],[-58.8367756873319,-27.4671570962477],[-58.8368212055204,-27.4675428618731],[-58.837999130101,-27.4674355742302],[-58.8379528950349,-27.4670502540751]]]}"
14,GUARDACOSTAS RIO IGUAZU,2077,PLAZA,114,CREMONTE,SENADOR MANCINI-PTE. ARTURO ILLIA-ERNESTO MEABE,"{""type"":""Polygon"",""coordinates"":[[[-58.7759947762807,-27.4822841849478],[-58.7759592936087,-27.4823890750608],[-58.775939132168,-27.4825178165817],[-58.7759346080606,-27.4826848937832],[-58.7761104313689,-27.4830039621772],[-58.7763834036216,-27.48309301431],[-58.7767030323231,-27.4831548021988],[-58.7770637775645,-27.4829557507075],[-58.7771530422305,-27.4826920225413],[-58.7771720959321,-27.4824937981446],[-58.7769657899637,-27.4821957109151],[-58.7767611342002,-27.4821117864343],[-58.7765036613103,-27.4820596271182],[-58.7762245562695,-27.4821240203116],[-58.7759947762807,-27.4822841849478]]]}"
149,S/N,S/D,PLAZA,3,9 DE JULIO,PIROVANO-PITAGORAS,"{""type"":""Polygon"",""coordinates"":[[[-58.8068973764664,-27.4903841049175],[-58.8069606583189,-27.4907179649022],[-58.8072968211328,-27.4906673389198],[-58.8072336394498,-27.4903334799213],[-58.8068973764664,-27.4903841049175]]]}"
51,S/N,S/D,ESPACIO DEPORTIVO,40,INDEPENDENCIA,LAS CUEVAS-CURA BROCHERO-ESTEBAN ADOLFO IBAÑEZ,"{""type"":""Polygon"",""coordinates"":[[[-58.8288455374475,-27.5081424528854],[-58.8287945408363,-27.5086001920579],[-58.8292853002718,-27.5086491687182],[-58.8293107971698,-27.5084202958578],[-58.8293362938675,-27.5081914301999],[-58.8288455374475,-27.5081424528854]]]}"
41,DR. RUBÉN DARÍO CASCO,581,PLAZOLETA,48,LA ROSADA,25 DE MAYO-MENDOZA,"{""type"":""Polygon"",""coordinates"":[[[-58.8352950055165,-27.4644164331234],[-58.8353158876941,-27.4646003240547],[-58.8353732313622,-27.4645946652304],[-58.8353773127322,-27.4646300005435],[-58.8354890739309,-27.4646212615229],[-58.8354639109122,-27.46439817444],[-58.8352950055165,-27.4644164331234]]]}"
